,siteID,setDate,collectDate,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,labConditionRemarks,sampleMass,NEONsite
0,BART,2021-07-21T15:00Z,2021-08-03T14:33Z,0.031,Debris observed in sample,0.006,0.004,Debris observed in sample,0.002,0.009,Debris observed in sample,0.002,0.015,Debris observed in sample,0.002,0.066,Debris observed in sample,0.018,0.341,Debris observed in sample,0.005,0.167,Debris observed in sample,0.005,0.002,Below detection limit|Debris in sample,0.006,0.022,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.11,0.1,4.7,0.4,,small bug,452.7,BART
1,BART,2021-08-03T14:33Z,2021-08-18T18:47Z,0.07,Debris observed in sample,0.006,0.01,Debris observed in sample,0.002,0.025,Debris observed in sample,0.002,0.031,Debris observed in sample,0.002,0.278,Debris observed in sample,0.018,0.659,Debris observed in sample,0.005,0.399,Debris observed in sample,0.005,0.002,Below detection limit|Debris in sample,0.006,0.028,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.24,0.1,5.7,0.4,,Pollen in sample,313.5,BART
2,BART,2021-08-18T18:57Z,2021-08-31T14:28Z,0.047,Debris observed in sample,0.006,0.015,Debris observed in sample,0.002,0.014,Debris observed in sample,0.002,0.077,Debris observed in sample,0.002,0.013,Below detection limit|Debris in sample,0.018,0.357,Debris observed in sample,0.005,0.203,Debris observed in sample,0.005,0.001,Below detection limit|Debris in sample,0.006,0.12,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.09,0.1,4.9,0.4,,Pollen in sample,559.2,BART
0,BART,2021-08-31T14:31Z,2021-09-14T14:39Z,0.029,Debris observed in sample,0.006,0.005,Debris observed in sample,0.002,0.003,Debris observed in sample,0.002,0.02,Debris observed in sample,0.002,0.031,Debris observed in sample,0.018,0.281,Debris observed in sample,0.005,0.114,Debris observed in sample,0.005,0.005,Below detection limit|Debris in sample,0.006,0.037,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.21,0.1,3.6,0.4,,Few small bugs and pollen in sample,552.72,BART
1,BART,2021-09-14T14:42Z,2021-09-29T14:31Z,0.039,Debris observed in sample,0.006,0.06,Debris observed in sample,0.002,0.025,Debris observed in sample,0.002,0.524,Debris observed in sample,0.002,0.045,Debris observed in sample,0.018,0.279,Debris observed in sample,0.005,0.315,Debris observed in sample,0.005,-0.002,Below detection limit|Debris in sample,0.006,0.957,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.26,0.1,7,0.4,,Polen in sample,1050.64,BART
0,BART,2021-09-29T14:35Z,2021-10-13T14:15Z,0.185,,0.006,0.031,,0.002,0.018,,0.002,0.028,,0.002,0,Below detection limit,0.018,0.697,,0.005,0.36,,0.005,0.001,Below detection limit,0.006,0.033,,0.003,0,Below detection limit,0.004,4.93,0.1,6.6,0.4,,Clean sample no archive,65.98,BART
0,BART,2021-10-13T14:14Z,2021-11-12T16:55Z,0.03,Debris observed in sample,0.006,0.014,Debris observed in sample,0.002,0.008,Debris observed in sample,0.002,0.099,Debris observed in sample,0.002,0.084,Debris observed in sample,0.018,0.238,Debris observed in sample,0.005,0.162,Debris observed in sample,0.005,0.001,Below detection limit|Debris in sample,0.006,0.175,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.3,0.1,3.7,0.4,,Pollen in sample,1958.32,BART
1,BART,2021-11-12T16:55Z,2021-11-19T15:40Z,0.032,Debris observed in sample,0.006,0.015,Debris observed in sample,0.002,0.012,Debris observed in sample,0.002,0.124,Debris observed in sample,0.002,0.057,Debris observed in sample,0.018,0.337,Debris observed in sample,0.005,0.157,Debris observed in sample,0.005,-0.002,Below detection limit|Debris in sample,0.006,0.218,Debris observed in sample,0.003,0.002,Below detection limit|Debris in sample,0.004,5.23,0.1,4.3,0.4,,Pollen in sample,544.96,BART
0,BART,2019-04-01T17:10Z,2019-04-09T17:47Z,0.07,,0.006,0.021,,0.002,0.019,,0.002,0.136,,0.002,0.277,,0.018,0.979,,0.005,0.398,,0.005,-0.001,Below detection limit,0.006,0.187,,0.003,0.002,Below detection limit,0.004,5.23,0.1,6.4,0.4,,,181.22,BART
1,BART,2019-04-09T18:11Z,2019-04-29T19:36Z,0.054,Debris observed in sample,0.006,0.02,Debris observed in sample,0.002,0.017,Debris observed in sample,0.002,0.142,Debris observed in sample,0.002,0.16,Debris observed in sample,0.018,0.537,Debris observed in sample,0.005,0.295,Debris observed in sample,0.005,0.006,Below detection limit|Debris in sample,0.006,0.258,Debris observed in sample,0.003,0.003,Below detection limit|Debris in sample,0.004,5.3,0.1,5.1,0.4,,Spects of dirt present,1582.3,BART
0,BART,2019-04-29T19:53Z,2019-05-13T20:02Z,0.07,Debris observed in sample,0.006,0.02,Debris observed in sample,0.002,0.019,Debris observed in sample,0.002,0.103,Debris observed in sample,0.002,0.366,Debris observed in sample,0.018,1.043,Debris observed in sample,0.005,0.399,Debris observed in sample,0.005,0.005,Below detection limit|Debris in sample,0.006,0.193,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.36,0.1,6.4,0.4,,Small bugs present,515.23,BART
1,BART,2019-05-13T20:15Z,2019-05-29T14:58Z,0.045,Debris observed in sample,0.006,0.012,Debris observed in sample,0.002,0.031,Debris observed in sample,0.002,0.029,Debris observed in sample,0.002,0.189,Debris observed in sample,0.018,0.429,Debris observed in sample,0.005,0.228,Debris observed in sample,0.005,0.007,Debris observed in sample,0.006,0.038,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.49,0.1,3.7,0.4,,Plant matter present,995.51,BART
