site,date,timeEST,NO3,DOC
RG22,8/6/2012,7:35,0.62,
RG22,8/13/2012,7:00,0.76,
RG22,8/20/2012,7:45,1.73,
RG22,9/3/2012,8:25,0.66,
RG22,9/10/2012,7:35,0.81,
RG22,9/24/2012,7:35,0.61,
RG22,10/2/2012,8:55,0.36,
RG22,10/8/2012,10:45,0.63,
RG22,10/15/2012,7:55,1.18,
RG22,10/22/2012,7:45,0.52,
RG22,11/5/2012,8:50,0.01,
RG22,11/14/2012,8:15,0.49,
RG22,11/26/2012,8:45,,
RG22,12/3/2012,8:45,2.41,
RG22,12/11/2012,13:00,1.37,
RG22,12/17/2012,9:35,0.71,
RG22,12/24/2012,10:35,0.28,
RG22,12/31/2012,8:45,0.24,
RG22,1/7/2013,8:45,3.65,
RG22,1/14/2013,8:50,2.97,
RG22,1/22/2013,8:45,1.44,
RG22,2/4/2013,8:50,0.89,
RG22,2/12/2013,8:45,1.32,
RG22,2/25/2013,9:55,1.36,
RG22,3/4/2013,8:40,1.07,
RG22,3/18/2013,7:40,0.66,
RG22,3/25/2013,7:10,1.07,
RG22,4/2/2013,7:25,0.74,
RG22,4/15/2013,7:40,1.8182,1.2337
RG22,5/13/2013,7:30,0.7972,1.2056
RG22,5/20/2013,7:40,0.9314,1.8002
RG22,5/28/2013,7:35,0.6355,0.9375
RG22,6/3/2013,7:50,0.607,3.9917
RG22,6/10/2013,7:45,0.4565,1.9359
RG22,6/17/2013,7:50,0.483,1.2366
RG22,6/24/2013,7:40,2.5634,3.6279
RG22,7/1/2013,7:15,0.8362,1.0447
RG22,7/7/2013,8:40,0.4892,0.886
RG22,7/15/2013,7:20,0.9607,1.5229
RG22,7/22/2013,8:30,0.5075,1.9587
RG22,7/30/2013,7:10,0.4022,0.7448
RG22,8/5/2013,7:10,0.4808,1.3303
RG22,8/12/2013,7:20,0.9116,1.3878
RG22,8/19/2013,9:20,0.6036,1.4475
RG22,8/26/2013,7:40,1.561,6.3072
RG22,9/3/2013,7:50,0.4257,0.9381
RG22,9/16/2013,7:40,0.8037,0.8546
RG22,9/16/2013,7:40,0.7913,0.81
RG22,9/23/2013,7:45,0.3808,0.7163
RG22,9/23/2013,7:45,0.4021,0.7744
RG22,10/8/2013,10:45,0.5282,1.1861
RG22,10/21/2013,7:35,1.0651,1.0786
RG22,10/28/2013,7:40,1.168,2.3398
RG22,11/4/2013,9:10,0.9987,1.0821
RG22,11/11/2013,8:40,1.35,0.7353
RG22,11/11/2013,8:40,1.3433,
